id,risk,cost,label
B0096,0.645173,0.174366,synthetic
B0097,0.690938,0.386735,synthetic
B0098,0.936730,0.137521,synthetic
B0099,0.341066,0.113473,synthetic
B0100,0.924694,0.877339,synthetic
B0101,0.257890,0.659984,synthetic
B0102,0.817222,0.555201,synthetic
B0103,0.529651,0.241852,synthetic
B0104,0.093103,0.897215,synthetic
B0105,0.900418,0.633058,synthetic
B0106,0.339030,0.349210,synthetic
B0107,0.725956,0.897110,synthetic
B0108,0.887086,0.779876,synthetic
B0109,0.642032,0.084140,synthetic
B0110,0.161629,0.898554,synthetic
B0111,0.606429,0.009197,synthetic
B0112,0.101472,0.663501,synthetic
B0113,0.005062,0.160808,synthetic
B0114,0.548734,0.691747,synthetic
B0115,0.651892,0.397466,synthetic
B0116,0.788730,0.316836,synthetic
B0117,0.568099,0.869510,synthetic
B0118,0.436173,0.802147,synthetic
B0119,0.143767,0.704261,synthetic
B0120,0.704581,0.314926,synthetic
B0121,0.151607,0.722452,synthetic
B0122,0.866382,0.975405,synthetic
B0123,0.855803,0.011714,synthetic
B0124,0.359891,0.729841,synthetic
B0125,0.313462,0.888330,synthetic
B0126,0.674328,0.317017,synthetic
B0127,0.358597,0.937859,synthetic
B0128,0.732390,0.787713,synthetic
B0129,0.050370,0.528941,synthetic
B0130,0.753378,0.160230,synthetic
B0131,0.282807,0.414368,synthetic
B0132,0.175007,0.554383,synthetic
B0133,0.478162,0.953313,synthetic
B0134,0.575751,0.761140,synthetic
B0135,0.634401,0.401495,synthetic
B0136,0.416860,0.778765,synthetic
B0137,0.139751,0.162865,synthetic
B0138,0.155345,0.986004,synthetic
B0139,0.896530,0.451946,synthetic
B0140,0.995358,0.914510,synthetic
B0141,0.255980,0.273765,synthetic
B0142,0.761493,0.556313,synthetic
B0143,0.936607,0.013749,synthetic
B0144,0.837558,0.811897,synthetic
B0145,0.195845,0.544489,synthetic
B0146,0.924694,0.442161,synthetic
B0147,0.909320,0.258780,synthetic
B0148,0.632619,0.090290,synthetic
B0149,0.186519,0.320780,synthetic
B0150,0.590863,0.040775,synthetic
B0151,0.016588,0.677564,synthetic
B0152,0.226496,0.512093,synthetic
B0153,0.174366,0.645173,synthetic
B0154,0.386735,0.690938,synthetic
B0155,0.137521,0.936730,synthetic
B0156,0.113473,0.341066,synthetic
B0157,0.877339,0.924694,synthetic
B0158,0.659984,0.257890,synthetic
B0159,0.555201,0.817222,synthetic
B0160,0.241852,0.529651,synthetic
B0161,0.897215,0.093103,synthetic
B0162,0.633058,0.900418,synthetic
B0163,0.349210,0.339030,synthetic
B0164,0.897110,0.725956,synthetic
B0165,0.779876,0.887086,synthetic
B0166,0.084140,0.642032,synthetic
B0167,0.898554,0.161629,synthetic
B0168,0.009197,0.606429,synthetic
B0169,0.663501,0.101472,synthetic
B0170,0.160808,0.005062,synthetic
B0171,0.691747,0.548734,synthetic
B0172,0.397466,0.651892,synthetic
B0173,0.316836,0.788730,synthetic
B0174,0.869510,0.568099,synthetic
B0175,0.802147,0.436173,synthetic
B0176,0.704261,0.143767,synthetic
B0177,0.314926,0.704581,synthetic
B0178,0.722452,0.151607,synthetic
B0179,0.975405,0.866382,synthetic
B0180,0.011714,0.855803,synthetic
B0181,0.729841,0.359891,synthetic
B0182,0.888330,0.313462,synthetic
B0183,0.317017,0.674328,synthetic
B0184,0.937859,0.358597,synthetic
B0185,0.787713,0.732390,synthetic
B0186,0.528941,0.050370,synthetic
B0187,0.160230,0.753378,synthetic
B0188,0.414368,0.282807,synthetic
B0189,0.554383,0.175007,synthetic
B0190,0.953313,0.478162,synthetic
B0191,0.761140,0.575751,synthetic
B0192,0.401495,0.634401,synthetic
B0193,0.778765,0.416860,synthetic
B0194,0.162865,0.139751,synthetic
B0195,0.986004,0.155345,synthetic
B0196,0.451946,0.896530,synthetic
B0197,0.914510,0.995358,synthetic
B0198,0.273765,0.255980,synthetic
B0199,0.556313,0.761493,synthetic
B0200,0.013749,0.936607,synthetic
B0201,0.811897,0.837558,synthetic
B0202,0.544489,0.195845,synthetic
B0203,0.442161,0.924694,synthetic
B0204,0.258780,0.909320,synthetic
B0205,0.090290,0.632619,synthetic
B0206,0.320780,0.186519,synthetic
B0207,0.040775,0.590863,synthetic
B0208,0.677564,0.016588,synthetic
B0209,0.512093,0.226496,synthetic
B0210,0.645173,0.174366,synthetic
B0211,0.690938,0.386735,synthetic
B0212,0.936730,0.137521,synthetic
B0213,0.341066,0.113473,synthetic
B0214,0.924694,0.877339,synthetic
B0215,0.257890,0.659984,synthetic
B0216,0.817222,0.555201,synthetic
B0217,0.529651,0.241852,synthetic
B0218,0.093103,0.897215,synthetic
B0219,0.900418,0.633058,synthetic
B0220,0.339030,0.349210,synthetic
B0221,0.725956,0.897110,synthetic
B0222,0.887086,0.779876,synthetic
B0223,0.642032,0.084140,synthetic
B0224,0.161629,0.898554,synthetic
B0225,0.606429,0.009197,synthetic
B0226,0.101472,0.663501,synthetic
B0227,0.005062,0.160808,synthetic
B0228,0.548734,0.691747,synthetic
B0229,0.651892,0.397466,synthetic
B0230,0.788730,0.316836,synthetic
B0231,0.568099,0.869510,synthetic
B0232,0.436173,0.802147,synthetic
B0233,0.143767,0.704261,synthetic
B0234,0.704581,0.314926,synthetic
B0235,0.151607,0.722452,synthetic
B0236,0.866382,0.975405,synthetic
B0237,0.855803,0.011714,synthetic
B0238,0.359891,0.729841,synthetic
B0239,0.313462,0.888330,synthetic
B0240,0.674328,0.317017,synthetic
B0241,0.358597,0.937859,synthetic
B0242,0.732390,0.787713,synthetic
B0243,0.050370,0.528941,synthetic
B0244,0.753378,0.160230,synthetic
B0245,0.282807,0.414368,synthetic
B0246,0.175007,0.554383,synthetic
B0247,0.478162,0.953313,synthetic
B0248,0.575751,0.761140,synthetic
B0249,0.634401,0.401495,synthetic
